_id,code,name,name_with_type,parent_code,path,path_with_type,slug,type
6580ea829fadc6b60cb85b3c,01672,Ngũ Lão,Xã Ngũ Lão,051,"Ngũ Lão, Hoà An, Cao Bằng","Xã Ngũ Lão, Huyện Hoà An, Tỉnh Cao Bằng",ngu-lao,xa
6580ea829fadc6b60cb85b3d,01675,Trương Lương,Xã Trương Lương,051,"Trương Lương, Hoà An, Cao Bằng","Xã Trương Lương, Huyện Hoà An, Tỉnh Cao Bằng",truong-luong,xa
6580ea829fadc6b60cb85b3e,01687,Hồng Việt,Xã Hồng Việt,051,"Hồng Việt, Hoà An, Cao Bằng","Xã Hồng Việt, Huyện Hoà An, Tỉnh Cao Bằng",hong-viet,xa
6580ea829fadc6b60cb85b40,01696,Hoàng Tung,Xã Hoàng Tung,051,"Hoàng Tung, Hoà An, Cao Bằng","Xã Hoàng Tung, Huyện Hoà An, Tỉnh Cao Bằng",hoang-tung,xa
6580ea829fadc6b60cb85b41,01699,Nguyễn Huệ,Xã Nguyễn Huệ,051,"Nguyễn Huệ, Hoà An, Cao Bằng","Xã Nguyễn Huệ, Huyện Hoà An, Tỉnh Cao Bằng",nguyen-hue,xa
6580ea829fadc6b60cb85b45,01711,Bình Dương,Xã Bình Dương,051,"Bình Dương, Hoà An, Cao Bằng","Xã Bình Dương, Huyện Hoà An, Tỉnh Cao Bằng",binh-duong,xa
6580ea829fadc6b60cb85b46,01714,Lê Chung,Xã Lê Chung,051,"Lê Chung, Hoà An, Cao Bằng","Xã Lê Chung, Huyện Hoà An, Tỉnh Cao Bằng",le-chung,xa
6580ea829fadc6b60cb85b47,01720,Chu Trinh,Xã Chu Trinh,040,"Chu Trinh, Cao Bằng, Cao Bằng","Xã Chu Trinh, Thành phố Cao Bằng, Tỉnh Cao Bằng",chu-trinh,xa
6580ea829fadc6b60cb85b48,01723,Hồng Nam,Xã Hồng Nam,051,"Hồng Nam, Hoà An, Cao Bằng","Xã Hồng Nam, Huyện Hoà An, Tỉnh Cao Bằng",hong-nam,xa
6580ea829fadc6b60cb85b49,01726,Nguyên Bình,Thị trấn Nguyên Bình,052,"Nguyên Bình, Nguyên Bình, Cao Bằng","Thị trấn Nguyên Bình, Huyện Nguyên Bình, Tỉnh Cao Bằng",nguyen-binh,thi-tran
6580ea829fadc6b60cb85b4a,01729,Tĩnh Túc,Thị trấn Tĩnh Túc,052,"Tĩnh Túc, Nguyên Bình, Cao Bằng","Thị trấn Tĩnh Túc, Huyện Nguyên Bình, Tỉnh Cao Bằng",tinh-tuc,thi-tran
6580ea829fadc6b60cb85b4b,01732,Yên Lạc,Xã Yên Lạc,052,"Yên Lạc, Nguyên Bình, Cao Bằng","Xã Yên Lạc, Huyện Nguyên Bình, Tỉnh Cao Bằng",yen-lac,xa
6580ea829fadc6b60cb85b4c,01735,Triệu Nguyên,Xã Triệu Nguyên,052,"Triệu Nguyên, Nguyên Bình, Cao Bằng","Xã Triệu Nguyên, Huyện Nguyên Bình, Tỉnh Cao Bằng",trieu-nguyen,xa
6580ea829fadc6b60cb85b4d,01738,Ca Thành,Xã Ca Thành,052,"Ca Thành, Nguyên Bình, Cao Bằng","Xã Ca Thành, Huyện Nguyên Bình, Tỉnh Cao Bằng",ca-thanh,xa
6580ea829fadc6b60cb85b4e,01744,Vũ Nông,Xã Vũ Nông,052,"Vũ Nông, Nguyên Bình, Cao Bằng","Xã Vũ Nông, Huyện Nguyên Bình, Tỉnh Cao Bằng",vu-nong,xa
6580ea829fadc6b60cb85b4f,01747,Minh Tâm,Xã Minh Tâm,052,"Minh Tâm, Nguyên Bình, Cao Bằng","Xã Minh Tâm, Huyện Nguyên Bình, Tỉnh Cao Bằng",minh-tam,xa
6580ea829fadc6b60cb85b50,01750,Thể Dục,Xã Thể Dục,052,"Thể Dục, Nguyên Bình, Cao Bằng","Xã Thể Dục, Huyện Nguyên Bình, Tỉnh Cao Bằng",the-duc,xa
6580ea829fadc6b60cb85b51,01756,Mai Long,Xã Mai Long,052,"Mai Long, Nguyên Bình, Cao Bằng","Xã Mai Long, Huyện Nguyên Bình, Tỉnh Cao Bằng",mai-long,xa
