_id,code,name,name_with_type,parent_code,path,path_with_type,slug,type
6580ea489fadc6b60cb85697,099,Tuần Giáo,Huyện Tuần Giáo,11,"Tuần Giáo, Điện Biên","Huyện Tuần Giáo, Tỉnh Điện Biên",tuan-giao,huyen
6580ea489fadc6b60cb85698,100,Điện Biên,Huyện Điện Biên,11,"Điện Biên, Điện Biên","Huyện Điện Biên, Tỉnh Điện Biên",dien-bien,huyen
6580ea489fadc6b60cb85699,101,Điện Biên Đông,Huyện Điện Biên Đông,11,"Điện Biên Đông, Điện Biên","Huyện Điện Biên Đông, Tỉnh Điện Biên",dien-bien-dong,huyen
6580ea489fadc6b60cb8569a,102,Mường Ảng,Huyện Mường Ảng,11,"Mường Ảng, Điện Biên","Huyện Mường Ảng, Tỉnh Điện Biên",muong-ang,huyen
6580ea489fadc6b60cb8569b,103,Nậm Pồ,Huyện Nậm Pồ,11,"Nậm Pồ, Điện Biên","Huyện Nậm Pồ, Tỉnh Điện Biên",nam-po,huyen
6580ea489fadc6b60cb8569c,105,Lai Châu,Thành phố Lai Châu,12,"Lai Châu, Lai Châu","Thành phố Lai Châu, Tỉnh Lai Châu",lai-chau,thanh-pho
6580ea489fadc6b60cb8569d,106,Tam Đường,Huyện Tam Đường,12,"Tam Đường, Lai Châu","Huyện Tam Đường, Tỉnh Lai Châu",tam-duong,huyen
6580ea489fadc6b60cb8569e,107,Mường Tè,Huyện Mường Tè,12,"Mường Tè, Lai Châu","Huyện Mường Tè, Tỉnh Lai Châu",muong-te,huyen
6580ea489fadc6b60cb8569f,108,Sìn Hồ,Huyện Sìn Hồ,12,"Sìn Hồ, Lai Châu","Huyện Sìn Hồ, Tỉnh Lai Châu",sin-ho,huyen
6580ea489fadc6b60cb856a0,109,Phong Thổ,Huyện Phong Thổ,12,"Phong Thổ, Lai Châu","Huyện Phong Thổ, Tỉnh Lai Châu",phong-tho,huyen
6580ea489fadc6b60cb856a1,110,Than Uyên,Huyện Than Uyên,12,"Than Uyên, Lai Châu","Huyện Than Uyên, Tỉnh Lai Châu",than-uyen,huyen
6580ea489fadc6b60cb856a2,111,Tân Uyên,Huyện Tân Uyên,12,"Tân Uyên, Lai Châu","Huyện Tân Uyên, Tỉnh Lai Châu",tan-uyen,huyen
6580ea489fadc6b60cb856a3,112,Nậm Nhùn,Huyện Nậm Nhùn,12,"Nậm Nhùn, Lai Châu","Huyện Nậm Nhùn, Tỉnh Lai Châu",nam-nhun,huyen
6580ea489fadc6b60cb856a4,116,Sơn La,Thành phố Sơn La,14,"Sơn La, Sơn La","Thành phố Sơn La, Tỉnh Sơn La",son-la,thanh-pho
6580ea489fadc6b60cb856a5,118,Quỳnh Nhai,Huyện Quỳnh Nhai,14,"Quỳnh Nhai, Sơn La","Huyện Quỳnh Nhai, Tỉnh Sơn La",quynh-nhai,huyen
6580ea489fadc6b60cb856a6,119,Thuận Châu,Huyện Thuận Châu,14,"Thuận Châu, Sơn La","Huyện Thuận Châu, Tỉnh Sơn La",thuan-chau,huyen
6580ea489fadc6b60cb856a7,120,Mường La,Huyện Mường La,14,"Mường La, Sơn La","Huyện Mường La, Tỉnh Sơn La",muong-la,huyen
6580ea489fadc6b60cb856a8,121,Bắc Yên,Huyện Bắc Yên,14,"Bắc Yên, Sơn La","Huyện Bắc Yên, Tỉnh Sơn La",bac-yen,huyen
6580ea489fadc6b60cb856a9,122,Phù Yên,Huyện Phù Yên,14,"Phù Yên, Sơn La","Huyện Phù Yên, Tỉnh Sơn La",phu-yen,huyen
6580ea489fadc6b60cb856aa,123,Mộc Châu,Huyện Mộc Châu,14,"Mộc Châu, Sơn La","Huyện Mộc Châu, Tỉnh Sơn La",moc-chau,huyen
6580ea489fadc6b60cb856ab,124,Yên Châu,Huyện Yên Châu,14,"Yên Châu, Sơn La","Huyện Yên Châu, Tỉnh Sơn La",yen-chau,huyen
6580ea489fadc6b60cb856ac,125,Mai Sơn,Huyện Mai Sơn,14,"Mai Sơn, Sơn La","Huyện Mai Sơn, Tỉnh Sơn La",mai-son,huyen
6580ea489fadc6b60cb856ad,126,Sông Mã,Huyện Sông Mã,14,"Sông Mã, Sơn La","Huyện Sông Mã, Tỉnh Sơn La",song-ma,huyen
6580ea489fadc6b60cb856ae,127,Sốp Cộp,Huyện Sốp Cộp,14,"Sốp Cộp, Sơn La","Huyện Sốp Cộp, Tỉnh Sơn La",sop-cop,huyen
6580ea489fadc6b60cb856af,128,Vân Hồ,Huyện Vân Hồ,14,"Vân Hồ, Sơn La","Huyện Vân Hồ, Tỉnh Sơn La",van-ho,huyen
6580ea489fadc6b60cb856b0,132,Yên Bái,Thành phố Yên Bái,15,"Yên Bái, Yên Bái","Thành phố Yên Bái, Tỉnh Yên Bái",yen-bai,thanh-pho
6580ea489fadc6b60cb856b1,133,Nghĩa Lộ,Thị xã Nghĩa Lộ,15,"Nghĩa Lộ, Yên Bái","Thị xã Nghĩa Lộ, Tỉnh Yên Bái",nghia-lo,thi-xa
6580ea489fadc6b60cb856b2,135,Lục Yên,Huyện Lục Yên,15,"Lục Yên, Yên Bái","Huyện Lục Yên, Tỉnh Yên Bái",luc-yen,huyen
6580ea489fadc6b60cb856b3,136,Văn Yên,Huyện Văn Yên,15,"Văn Yên, Yên Bái","Huyện Văn Yên, Tỉnh Yên Bái",van-yen,huyen
6580ea489fadc6b60cb856b4,137,Mù Căng Chải,Huyện Mù Căng Chải,15,"Mù Căng Chải, Yên Bái","Huyện Mù Căng Chải, Tỉnh Yên Bái",mu-cang-chai,huyen
6580ea489fadc6b60cb856b5,138,Trấn Yên,Huyện Trấn Yên,15,"Trấn Yên, Yên Bái","Huyện Trấn Yên, Tỉnh Yên Bái",tran-yen,huyen
6580ea489fadc6b60cb856b6,139,Trạm Tấu,Huyện Trạm Tấu,15,"Trạm Tấu, Yên Bái","Huyện Trạm Tấu, Tỉnh Yên Bái",tram-tau,huyen
6580ea489fadc6b60cb856b7,140,Văn Chấn,Huyện Văn Chấn,15,"Văn Chấn, Yên Bái","Huyện Văn Chấn, Tỉnh Yên Bái",van-chan,huyen
6580ea489fadc6b60cb856b8,141,Yên Bình,Huyện Yên Bình,15,"Yên Bình, Yên Bái","Huyện Yên Bình, Tỉnh Yên Bái",yen-binh,huyen
6580ea489fadc6b60cb856b9,148,Hòa Bình,Thành phố Hòa Bình,17,"Hòa Bình, Hoà Bình","Thành phố Hòa Bình, Tỉnh Hoà Bình",hoa-binh,thanh-pho
6580ea489fadc6b60cb856ba,150,Đà Bắc,Huyện Đà Bắc,17,"Đà Bắc, Hoà Bình","Huyện Đà Bắc, Tỉnh Hoà Bình",da-bac,huyen
6580ea489fadc6b60cb856bb,152,Lương Sơn,Huyện Lương Sơn,17,"Lương Sơn, Hoà Bình","Huyện Lương Sơn, Tỉnh Hoà Bình",luong-son,huyen
6580ea489fadc6b60cb856bc,153,Kim Bôi,Huyện Kim Bôi,17,"Kim Bôi, Hoà Bình","Huyện Kim Bôi, Tỉnh Hoà Bình",kim-boi,huyen
6580ea489fadc6b60cb856bd,154,Cao Phong,Huyện Cao Phong,17,"Cao Phong, Hoà Bình","Huyện Cao Phong, Tỉnh Hoà Bình",cao-phong,huyen
6580ea489fadc6b60cb856be,155,Tân Lạc,Huyện Tân Lạc,17,"Tân Lạc, Hoà Bình","Huyện Tân Lạc, Tỉnh Hoà Bình",tan-lac,huyen
6580ea489fadc6b60cb856bf,156,Mai Châu,Huyện Mai Châu,17,"Mai Châu, Hoà Bình","Huyện Mai Châu, Tỉnh Hoà Bình",mai-chau,huyen
6580ea489fadc6b60cb856c0,157,Lạc Sơn,Huyện Lạc Sơn,17,"Lạc Sơn, Hoà Bình","Huyện Lạc Sơn, Tỉnh Hoà Bình",lac-son,huyen
6580ea489fadc6b60cb856c1,158,Yên Thủy,Huyện Yên Thủy,17,"Yên Thủy, Hoà Bình","Huyện Yên Thủy, Tỉnh Hoà Bình",yen-thuy,huyen
6580ea489fadc6b60cb856c2,159,Lạc Thủy,Huyện Lạc Thủy,17,"Lạc Thủy, Hoà Bình","Huyện Lạc Thủy, Tỉnh Hoà Bình",lac-thuy,huyen
6580ea489fadc6b60cb856c3,164,Thái Nguyên,Thành phố Thái Nguyên,19,"Thái Nguyên, Thái Nguyên","Thành phố Thái Nguyên, Tỉnh Thái Nguyên",thai-nguyen,thanh-pho
6580ea489fadc6b60cb856c4,165,Sông Công,Thành phố Sông Công,19,"Sông Công, Thái Nguyên","Thành phố Sông Công, Tỉnh Thái Nguyên",song-cong,thanh-pho
6580ea489fadc6b60cb856c5,167,Định Hóa,Huyện Định Hóa,19,"Định Hóa, Thái Nguyên","Huyện Định Hóa, Tỉnh Thái Nguyên",dinh-hoa,huyen
6580ea489fadc6b60cb856c6,168,Phú Lương,Huyện Phú Lương,19,"Phú Lương, Thái Nguyên","Huyện Phú Lương, Tỉnh Thái Nguyên",phu-luong,huyen
6580ea489fadc6b60cb856c7,169,Đồng Hỷ,Huyện Đồng Hỷ,19,"Đồng Hỷ, Thái Nguyên","Huyện Đồng Hỷ, Tỉnh Thái Nguyên",dong-hy,huyen
6580ea489fadc6b60cb856c8,170,Võ Nhai,Huyện Võ Nhai,19,"Võ Nhai, Thái Nguyên","Huyện Võ Nhai, Tỉnh Thái Nguyên",vo-nhai,huyen
6580ea489fadc6b60cb856c9,171,Đại Từ,Huyện Đại Từ,19,"Đại Từ, Thái Nguyên","Huyện Đại Từ, Tỉnh Thái Nguyên",dai-tu,huyen
6580ea489fadc6b60cb856ca,172,Phổ Yên,Thành phố Phổ Yên,19,"Phổ Yên, Thái Nguyên","Thành phố Phổ Yên, Tỉnh Thái Nguyên",pho-yen,thanh-pho
6580ea489fadc6b60cb856cb,173,Phú Bình,Huyện Phú Bình,19,"Phú Bình, Thái Nguyên","Huyện Phú Bình, Tỉnh Thái Nguyên",phu-binh,huyen
6580ea489fadc6b60cb856cc,178,Lạng Sơn,Thành phố Lạng Sơn,20,"Lạng Sơn, Lạng Sơn","Thành phố Lạng Sơn, Tỉnh Lạng Sơn",lang-son,thanh-pho
